Angle of attack,AF1450t Balance,,,AFA4 Encoder Input,,DP6 Digital Pressure Display,,,DTI Inputs,,,AFA6 Multi-Channel Pressure System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operating Conditions,,,
Angle of attack,Lift,Drag,Pitching Moment,Angle,Normalised Angle,"Pressure Front, P1","Pressure Back, P2","Atmospheric Pressure, P4",Gauge 1,Gauge 2,Gauge 3,Pressures (kPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atmospheric Temperature,Ambient Air Density,Wind Speed Front,Wind Speed Back
,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,,,,
(degrees),(N),(N),(Nm),(°),(°),(Pa),(Pa),(kPa),(mm),(mm),(mm),kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,(°C),(kg.m-3),(m.s-1),(m.s-1)
Data Series 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,33.91,16.95,0.00,359.9,-0.1,239,248,102.6,-55.85,333.11, -- ,-0.73,-0.01,-0.77,-0.13,-0.63,-0.19,-0.58,-0.16,-0.42,-0.26,-0.42,-0.25,-0.36,-0.27,-0.34,-0.26,-0.29,-0.26,-0.28,-0.25,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.24,-0.24,-0.29,20.0,1.22,19.79,20.16
-4,33.91,16.95,0.00,359.9,-0.1,232,242,102.6,-55.86,333.11, -- ,-0.46,-0.04,-0.59,-0.19,-0.51,-0.22,-0.48,-0.19,-0.41,-0.28,-0.40,-0.25,-0.31,-0.27,-0.30,-0.25,-0.28,-0.25,-0.27,-0.24,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.24,-0.24,-0.28,20.0,1.22,19.50,19.92
-2,33.91,16.95,0.00,359.9,-0.1,241,238,102.6,-55.85,333.11, -- ,-0.26,-0.07,-0.44,-0.26,-0.43,-0.28,-0.42,-0.20,-0.36,-0.31,-0.36,-0.29,-0.33,-0.28,-0.30,-0.27,-0.26,-0.27,-0.26,-0.25,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.24,-0.21,-0.26,20.0,1.22,19.88,19.75
0,33.91,16.95,0.00,359.9,-0.1,254,260,102.6,-55.86,333.11, -- ,-0.12,-0.17,-0.29,-0.35,-0.33,-0.35,-0.34,-0.25,-0.32,-0.34,-0.33,-0.32,-0.30,-0.32,-0.30,-0.29,-0.27,-0.29,-0.25,-0.28,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.26,0.00,-0.24,-0.19,-0.27,20.0,1.22,20.40,20.64
2,33.91,16.95,0.00,359.9,-0.1,252,254,102.6,-55.85,333.11, -- ,-0.05,-0.31,-0.20,-0.47,-0.28,-0.43,-0.30,-0.29,-0.30,-0.39,-0.32,-0.35,-0.30,-0.35,-0.29,-0.32,-0.26,-0.30,-0.27,-0.28,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.26,-0.23,-0.28,20.0,1.22,20.32,20.40
4,33.91,16.95,0.00,359.9,-0.1,250,262,102.6,-55.85,333.11, -- ,-0.02,-0.47,-0.13,-0.57,-0.22,-0.50,-0.26,-0.33,-0.27,-0.44,-0.31,-0.40,-0.28,-0.36,-0.27,-0.32,-0.26,-0.32,-0.25,-0.30,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.26,-0.24,-0.29,20.0,1.22,20.24,20.72
6,33.91,16.95,0.00,359.9,-0.1,259,260,102.6,-55.86,333.11, -- ,-0.02,-0.64,-0.07,-0.66,-0.18,-0.57,-0.21,-0.38,-0.23,-0.45,-0.28,-0.40,-0.27,-0.38,-0.27,-0.34,-0.25,-0.32,-0.25,-0.30,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.26,-0.24,-0.28,20.0,1.22,20.60,20.64
8,33.91,16.95,0.00,359.9,-0.1,248,254,102.6,-55.85,333.11, -- ,-0.03,-0.83,-0.03,-0.75,-0.13,-0.71,-0.17,-0.36,-0.22,-0.47,-0.26,-0.41,-0.25,-0.38,-0.26,-0.34,-0.25,-0.31,-0.25,-0.30,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.26,-0.24,-0.28,20.0,1.22,20.16,20.40
10,33.91,16.95,0.00,359.9,-0.1,260,264,102.6,-55.86,333.10, -- ,-0.09,-1.13,-0.02,-0.95,-0.10,-0.63,-0.13,-0.44,-0.19,-0.52,-0.24,-0.44,-0.24,-0.39,-0.25,-0.35,-0.25,-0.32,-0.27,-0.31,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.27,-0.24,-0.29,20.0,1.22,20.64,20.80
12,33.91,16.95,0.00,359.9,-0.1,257,256,102.6,-55.85,333.11, -- ,-0.03,-0.69,-0.03,-0.62,-0.13,-0.55,-0.16,-0.38,-0.21,-0.53,-0.27,-0.49,-0.27,-0.48,-0.29,-0.45,-0.29,-0.43,-0.32,-0.41,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.29,0.00,-0.27,-0.26,-0.30,20.0,1.22,20.52,20.49
14,33.91,16.95,0.00,359.9,-0.1,252,250,102.6,-55.85,333.11, -- ,-0.03,-0.52,-0.03,-0.51,-0.11,-0.47,-0.15,-0.33,-0.20,-0.46,-0.27,-0.44,-0.27,-0.45,-0.29,-0.42,-0.30,-0.41,-0.33,-0.41,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.27,0.00,-0.24,-0.22,-0.28,20.0,1.22,20.32,20.24
16,33.91,16.95,0.00,359.9,-0.1,247,240,102.6,-55.85,333.11, -- ,-0.03,-0.44,-0.03,-0.45,-0.11,-0.42,-0.14,-0.30,-0.21,-0.42,-0.28,-0.41,-0.28,-0.44,-0.31,-0.42,-0.33,-0.44,-0.36,-0.44,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.28,0.00,-0.24,-0.22,-0.29,20.0,1.22,20.12,19.83
18,33.91,16.95,0.00,359.9,-0.1,246,234,102.6,-55.85,333.11, -- ,-0.03,-0.44,-0.03,-0.44,-0.10,-0.42,-0.14,-0.30,-0.20,-0.42,-0.28,-0.42,-0.28,-0.44,-0.31,-0.43,-0.33,-0.44,-0.36,-0.43,0.01,0.00,0.00,0.00,0.01,0.00,0.00,-0.29,0.00,-0.25,-0.22,-0.29,20.0,1.22,20.08,19.59
20,33.91,16.95,0.00,359.9,-0.1,245,238,102.6,-55.85,333.11, -- ,-0.03,-0.44,-0.03,-0.45,-0.10,-0.43,-0.13,-0.32,-0.19,-0.44,-0.28,-0.43,-0.28,-0.46,-0.31,-0.45,-0.33,-0.45,-0.37,-0.44,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.29,0.00,-0.25,-0.22,-0.29,20.0,1.22,20.04,19.75
