,WindSpeed(m/s),"Wind.dP (Pa)",Air.Temp.(C),Baro.P(Pa),Fz(L),Fx(D),Fy(S),My(P),Mz(Y),Mx(R),Incidence,Yaw.Pos,Roll.Pos,
1,20.0," 242.4",15.1,100268,"   -43","   0.0","     2"," -10.6","   0.7","  -0.9"," -10.000","   0.000","   0.000",
2,20.0," 243.2",15.1,100269,"   -30","  15.2","     1","  -9.6","   0.7","  -0.5","  -8.000","   0.000","   0.000",
3,20.0," 242.6",15.2,100274,"   -13","  30.8","     1","  -7.9","   0.2","   0.0","  -6.000","   0.000","   0.000",
4,20.0," 242.9",15.2,100275,"     6","  46.5","     0","  -6.0","   0.1","  -0.1","  -4.000","   0.000","   0.000",
5,20.0," 242.4",15.2,100277,"    26","  61.1","    -1","  -3.8","   0.0","  -0.3","  -2.000","   0.000","   0.000",
6,20.0," 243.0",15.3,100277,"    45","  74.6","    -2","  -1.4","  -0.1","  -0.6","   0.000","   0.000","   0.000",
7,20.0," 242.6",15.3,100279,"    64","  86.9","    -3","   1.4","  -0.1","  -0.6","   2.000","   0.000","   0.000",
8,20.0," 242.5",15.3,100281,"    81","  98.4","    -4","   4.2","  -0.1","  -0.7","   4.000","   0.000","   0.000",
9,20.0," 242.5",15.3,100282,"    98"," 109.4","    -5","   6.1","  -0.1","  -0.8","   6.000","   0.000","   0.000",
10,20.0," 242.0",15.4,100279,"   109"," 121.6","    -5","   6.0","   0.0","  -1.0","   8.000","   0.000","   0.000",
11," 0.6","   0.2",15.5,100292,"    -1","  -0.1","     0","   0.0","   0.0","   0.0"," -10.000","   0.000","   0.000",
